rank_test_score,mean_test_score,mean_fit_time,kernel,degree,C,gamma
1,0.7008255933952527,0.11735219955444336,poly,2,10,auto
1,0.7008255933952527,0.13201122283935546,poly,1,100,scale
1,0.7008255933952527,0.24683661460876466,poly,1,100,auto
1,0.7008255933952527,0.17711668014526366,poly,2,100,scale
1,0.7008255933952527,0.24450793266296386,poly,2,100,auto
1,0.7008255933952527,2.672028684616089,poly,1,1000,scale
1,0.7008255933952527,7.200845623016358,poly,1,1000,auto
1,0.7008255933952527,0.6078214645385742,poly,2,1000,scale
9,0.6174922600619195,3.4205121994018555,poly,2,1000,auto
10,0.6066395468836249,0.12677011489868165,poly,3,1,auto
11,0.6008255933952527,0.9164628028869629,poly,3,1000,scale
12,0.5961086122631774,4.749035358428955,poly,3,1000,auto
13,0.5944619570316164,0.4036421775817871,poly,3,10,auto
14,0.5915035594969477,1.9008358478546143,poly,3,100,auto
15,0.5901698556903348,0.25144233703613283,poly,3,100,scale
16,0.5784118002918045,0.21008496284484862,rbf,1,100,scale
17,0.5763575082888697,0.38932323455810547,poly,4,100,scale
18,0.5745879696328765,1.5327399253845215,poly,4,10,auto
19,0.5736827362523956,2.339035749435425,poly,4,1000,scale
20,0.5734671028292151,0.28812274932861326,poly,4,1,auto
21,0.5640487338911206,0.4508009433746338,poly,5,1,auto
22,0.5556448705036865,0.23231821060180663,rbf,1,1000,scale
23,0.5544425910480956,2.3819428443908692,poly,4,100,auto
24,0.5498787878787879,14.204066181182862,poly,4,1000,auto
25,0.5424922600619194,0.5419241428375244,poly,5,100,scale
26,0.5402422308873921,5.875235319137573,poly,5,10,auto
27,0.5293878527020563,1.625086259841919,poly,5,1000,scale
28,0.5291522233041219,26.952078914642335,poly,5,100,auto
29,0.5096908416222031,0.1392752170562744,poly,5,0.1,auto
30,0.476890756302521,0.18688297271728516,rbf,1,100,auto
31,0.4519142380838975,0.1958141326904297,rbf,1,10,auto
32,0.43198081410422606,0.1050196647644043,poly,4,0.1,auto
33,0.4093014478830714,0.11550931930541992,poly,4,10,scale
34,0.40391759942843536,0.11628365516662598,poly,3,10,scale
35,0.389047619047619,0.23775644302368165,rbf,1,1000,auto
36,0.3834044377522638,36.24676671028137,poly,5,1000,auto
37,0.35195681511470983,0.16331944465637208,poly,2,1,auto
38,0.33726817042606516,0.19382085800170898,poly,5,10,scale
39,0.29665477252453165,0.10842318534851074,poly,5,0.01,auto
40,0.2763157894736842,0.12101550102233886,poly,2,10,scale
41,0.23555555555555552,0.10277271270751953,poly,3,0.1,auto
42,0.22109634551495017,0.1584099292755127,poly,5,1,scale
43,0.15963855421686746,0.12750134468078614,poly,4,1,scale
44,0.15465116279069765,0.09898114204406738,poly,4,0.01,auto
45,0.0,0.07025418281555176,poly,1,0.01,scale
45,0.0,0.05288434028625488,poly,1,0.01,auto
45,0.0,0.056529569625854495,poly,2,0.01,scale
45,0.0,0.08871426582336425,poly,2,0.01,auto
45,0.0,0.06761007308959961,poly,3,0.01,scale
45,0.0,0.09826998710632324,poly,3,0.01,auto
45,0.0,0.0731924057006836,poly,4,0.01,scale
45,0.0,0.07985320091247558,poly,5,0.01,scale
45,0.0,0.04791569709777832,poly,1,0.1,scale
45,0.0,0.0559898853302002,poly,1,0.1,auto
45,0.0,0.07578215599060059,poly,2,0.1,scale
45,0.0,0.09417853355407715,poly,2,0.1,auto
45,0.0,0.08020033836364746,poly,3,0.1,scale
45,0.0,0.10104169845581054,poly,4,0.1,scale
45,0.0,0.09624018669128417,poly,5,0.1,scale
45,0.0,0.051909446716308594,poly,1,1,scale
45,0.0,0.056808853149414064,poly,1,1,auto
45,0.0,0.09664254188537598,poly,2,1,scale
45,0.0,0.1165921688079834,poly,3,1,scale
45,0.0,0.06596794128417968,poly,1,10,scale
45,0.0,0.06321635246276855,poly,1,10,auto
45,0.0,0.14906806945800782,rbf,1,0.01,scale
45,0.0,0.2080381393432617,rbf,1,0.01,auto
45,0.0,0.19439635276794434,rbf,1,0.1,scale
45,0.0,0.1699202060699463,rbf,1,0.1,auto
45,0.0,0.208405065536499,rbf,1,1,scale
45,0.0,0.2172696590423584,rbf,1,1,auto
45,0.0,0.22625527381896973,rbf,1,10,scale
